tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
222,Antwerpen Open,1518,Kortendijk Albert,1971,Schotte Tom,24,26,f5f6e6f4e3c5c4e7c6e2f3g4g5d6d7g6f8d3g3c3c2b4d2f7b5d1b3f2h5a3h4a4h6c1g8h3h2g7g2d8g1h1c8e8h8h7c7b6e1f1b2a2a1b1a5a6a7b7b8a8
222,Antwerpen Open,1971,Schotte Tom,2135,Reunes Nick,34,29,f5d6c3d3c4f4f6f3e6e7c6g6e8c5b4f7h6b5f8e3b3a4a3a2g5c2c1b6a6b2g4b1f2d1e2g3d2e1f1h5h3g1a1a5h1h7h4g7g2h2h8d7d8c7c8g8b7a7a8b8
222,Antwerpen Open,1971,Schotte Tom,1926,Praseptyo Linda,37,39,f5d6c4d3c5f4e3c3d2c2b3b4e6e2f3f2f1g4b6c6d7g6g5a4h4h6g3f7e7f6h5f8d8a6b5c8c7h3a5e1d1c1b1e8g1g7a3a2h8b8h7g2b2g8a8a1b7a7h2h1
222,Antwerpen Open,1971,Schotte Tom,2052,Sneek Marcel,38,33,f5d6c3d3c4f4e3f3g4g5g3e2f2c2h6b5b4c5e1h5d2h3e6f6c6a3b6d7a6a4e7c1d1b3c8c7a5a7b1h2f7g6b8g1f1a1a2f8b7d8a8b2e8g2h1h7g8g7h4h8
222,Antwerpen Open,1436,de Graaf Jan C.,1971,Schotte Tom,23,27,f5d6c4g5c6c5d7d3b4c3e3b5a4a6b6c7f4f2f6e8d8c8c2d2e7f3e2b3e6a7g4f8a3d1c1b1h4g3h3e1f1g1g2h1h2a2a1b2b8a8a5g6h5b7h7g7h6h8f7g8
222,Antwerpen Open,1971,Schotte Tom,2416,May Michael,28,27,f5d6c3d3c4f4e3f3g4e2d2h4f6c1e6c5c6c2e1f1g1f2g5d1b1h6g3e7d7d8c7f7c8b8h3h5h7g6e8f8g7g2h1h2b6a6b5b3b4a5b2b7a8a7a3a4a2a1h8g8
222,Antwerpen Open,2004,Fransen Martin,1971,Schotte Tom,26,22,f5f6e6f4g5e7f7d6d8h6c6g6g4f8h4c7c8h3h2b6a5d7c3h5h7c4c5b3a3c2d1b5f3c1b1a4b7a6d3e2d2a8b4e1f1e3b2g2g3f2e8g7h1b8h8g8a7g1a2a1
116,Australian National,1728,Vinar Matt,2405,Hughes Scott,17,20,f5d6c3f4f6d3f3b3c7d7c6b5c4c5d2e6b4a3f7c8a4a5e7c2a6a7b6f8c1g8e8d8b7g6g5h4h6e3e2f1b2h5h3b8g4a8e1b1h7d1a1a2g1g2f2g3h2h1g7h8
283,Beijing Open,2910,Hu Yingchong,2358,Song Yan,29,33,f5f6e6f4g5e7d7g6g4h5e3d6c6c4e8f7c7g3c3f3b4e2h6d3c5c8d2b6a6d1c2f2f8a5a3a4b5c1b3d8b8h7h4h3g1e1g2g7b7b2b1f1h1h2h8g8a8a7a1a2
301,Belarus Championship,3098,Panasiuk Alexander,3100,Khlebnikau Uladzimi,17,34,f5f6e6f4e3c5c4e7b5e2f2d2f3g4g5d6h3c6d3b6f7g6e8h6h4g3d7c3b4a6a4c7h5h2b3a3d1c8a2h7d8c1e1a5a7b7a8b8b1c2g2h1b2a1g7h8g8f8g1f1
22,British Nationals,1432,Pridmore Ben,82,Plowman Guy,19,17,f5d6c3d3c4f4c5b4b5c6e3f3b6a5g4c2a4a3a6b3a2e2d2f2c1e6g3d1e1g6g5f6c7d7f7e7h6b8f8b7e8d8b1g8a8a7c8a1h8b2g7h3g2h1g1f1h2h4h5h7
23,Campionati Italiani,28,Marconi Francesco,1966,Borassi Michele,35,30,f5d6c3d3c4f4f6g5c6e3e6d7e2e7f3c5b6b4b5c7g4a6h6a5g6b3a3h3h4g3f2g2a4h5f7e8g8a2c8h7h1d8f8b7a8b8a7h8g7d2a1d1f1e1h2g1c1b2b1c2
23,Campionati Italiani,1966,Borassi Michele,28,Marconi Francesco,34,28,f5f6e6f4g6d6e3d3g4e2g3e7c6f7c5f3g5c4d7h3c3c7e1b6f2h6d2h5h4b5f8e8d8c8b8b4g8g7h8h7b3c2a3a4a7a6a5b2a1a2b1a8b7g1c1h2h1g2f1d1
23,Campionati Italiani,28,Marconi Francesco,1966,Borassi Michele,18,27,f5d6c3d3c4f4f6g5c6e3e6d7e2e7f3c5b6b4b5c7g4h3a5a6g6h6g7g3f7h8f8d8c8b8h4h5h7e1d2f2a7a4b3a8b7c1g2h1h2e8d1g8g1f1c2a3b1a1b2a2
