tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
116,Australian National,1233,Hubbard Paul,1728,Vinar Matt,11,14,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2c8f3c7h3e2f1d1e1g1g4c1h6h4h5b5h2g6c2b1a6b3b4a3f8a5a4g2d8e8b8a7h1b7a1a2b2b6a8g7h7h8g8
116,Australian National,1728,Vinar Matt,1233,Hubbard Paul,16,28,f5d6c4d3c3f4f6b5b4f3e6e7f7c5e3a3c7d7b6g6g5c2a6c6g3h5d8e8h6g4f8c8b8a5b7d2f2e2h4a8a7f1g2g7a4g8b3h1g1b2c1e1a2a1b1d1h7h2h3h8
116,Australian National,1728,Vinar Matt,150,Ortiz Georges,61,55,f5f6e6f4g5e7e3g6d6c4f7h5h6h7d7d8c6e8c5h4f3b6c8b8c7b4b5a6a3a4g8c3d3g4g3f8a8b7h3h2a7c2d2f2e2d1f1c1a5e1b1b2g1g2h1h8a2a1b3g7
116,Australian National,1732,Girardo Robert,1728,Vinar Matt,8,13,f5d6c4d3c5f4e3f3d7c3d2g6b3b4b5d1e2c2c1e1g4g5f6h4h5h6h3h2g3f2f1e7f8e6f7a4a5c7c6a3c8b7a2a6a8a1b6a7g2b8b2h1h7g1h8b1g7e8d8g8
116,Australian National,1728,Vinar Matt,1731,Cairns Fleur,52,46,f5f6e6f4g5c6g6h7g4h6h4e7f3e3d6f2d8d7h5h3g3f8c8f7c7c5e8b8d2d3c4h2g7c3e2d1c1b1b3a3e1f1c2b4b2g8h8a2a8b7a7a6g2b5h1g1a1b6a5a4
116,Australian National,150,Ortiz Georges,1233,Hubbard Paul,36,35,f5d6c3d3c4f4f6b5e3f3g4c2c6d7b3a4c1d2e6f2g3e2f1g5c5b4g6h4h5h3h2f7a3h7e1a2b6a6a5b2a1b1d1g2a7b7a8c7b8d8c8e7e8f8g8h6h8g7h1g1
116,Australian National,1233,Hubbard Paul,1730,Sheean Helen,42,28,f5d6c3d3c4f3c5e6f4e3f6c6f7b3e2b4d7e7e8g8g6c8f2h6g5h5c7c2b5f1a4b8h4g4h7e1a3d2h3b6g3a6a5g2h2a2d1c1b2d8f8a1b1g7h8a8h1g1a7b7
116,Australian National,1733,Cairns Phil,1233,Hubbard Paul,14,23,f5d6c3d3c4f4f6f3g4g5e3h3g3f2h6h4c6e2d2c5d7c1e1b4b3b5e6f1g1c2g6c7a6h5h2a5c8b6a4a3a2e7f8e8a7d8f7d1b1b7b2g2b8a8a1h1h7g8g7h8
116,Australian National,150,Ortiz Georges,1733,Cairns Phil,46,39,f5d6c3d3c4f4c5b4e3e6b6c6f3a6e7f7d7f6b3c8d8f8e8c7a4c2d2d1b5a5a3e2a7g6f2g5g4h5f1e1g3h3g2a2a1h1b2b7h6b1c1g7h8g8h7g1h2h4a8b8
116,Australian National,1729,Lyell Alex,150,Ortiz Georges,20,24,f5f6e6f4g5e7d3e3f7c4b3d6c6c3e8b4b5d7c7a4c5a3g3a6a5b6f3c8e2d8d2f8c2c1b7g8g7h8h7d1g6e1f2h3h4f1h2h6g4h5a7h1g1g2b1a1a2b8b2a8
116,Australian National,1732,Girardo Robert,1730,Sheean Helen,25,28,f5d6c5f4e3c4c3c6c7b5a6a5a4b4d3b3a3b6g3d7e7d2c1d1e1c2e6f3f2e2f1g4h3h4h5c8d8g6b8f6h6f7e8f8g8b2g5g7b1a1a2a7h8g2h1g1b7h2a8h7
116,Australian National,1731,Cairns Fleur,1733,Cairns Phil,1,0,f5d6c6f4f3c5b5b4d3c7b6c4d8c8b8a5a3a6b3c3c2d7a4a2b7e7e8e6f6a7b2a8f7g8f8h8g7g6h7h6e2e3g5e1d2g4h4h5h3d1g3b1a1h2h1c1f1
