tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
57,Parties Internet (1-6),1368,Edax (delorme),1301,Scorpion (buro),43,37,f5f6e6f4g5g6g4e7f3d6f7h3g3d3h5f8d7h6h7c8c4c3c5h4h2e3e2b6b5c2c6e1d2b3f1g1b4c7a3a6a5f2d1c1b2a1b1a2a7a4b7g2h1a8e8d8b8g7h8g8
57,Parties Internet (1-6),1577,Booklet (welty),1661,Hawk (barker),35,33,f5f6e6f4g5g6g4e7f3d6f7h5h4h3g3d3c7c6e3e2d2h2f2f1e1f8c3h6e8d8g8c8d7c2b8d1b5c5c4b3g2a5a3a4a6h1b4b2a2b7c1g7b6b1h8a7a8a1g1h7
57,Parties Internet (1-6),1661,Hawk (barker),1293,OO7 (buro),37,34,f5f6e6f4g5g6e7d6c5c4f3h5f7g4h6h7d3c3e3d7g3f2g2f8h4h3c7c6b6e8d8g7b4a4d2e1b3h1a5c8h2b5f1g1e2a6c2b7a8a2a3b2a1a7h8g8b8d1b1c1
57,Parties Internet (1-6),1577,Booklet (welty),1293,OO7 (buro),41,43,f5f6e6f4g5g6e7h6g4c5f3e3h5d6d2e2d3c4c6f2d7c1b5g3h7f7f8c7b6e8d8a5c2a6b4b8e1d1b1a3c8g8c3b3h2h4h3b2a1b7a8a7h8a2a4g7g1f1g2h1
57,Parties Internet (1-6),146,Hansson Ola,1577,Booklet (welty),7,15,f5f6e6f4g5h6g6f7c3d6h5h4c7c5g3f3e3c6d7e7e8h7b4f8g8b5c4c8a5b6d8h8g7d3a6e2g4f2c2d2h3a3b3g2h1h2g1b8f1e1d1a2b2a1b1c1a4b7a8a7
57,Parties Internet (1-6),1564,Wong Alexis,1552,Hoehne Andreas,34,30,f5f6e6f4g5e7e3f3d3c3f7d7d8c4d6h5g4h4h3g6g3f8h6e8g8c5c6c8b8b5b6c7e2a6b4a5a3b3d2c2b7d1a4a2e1f1f2g1b1g7h8c1h1h7a7a8g2h2b2a1
57,Parties Internet (1-6),1666,Raijkard Thomas,1301,Scorpion (buro),35,37,f5f6e6f4g5e7e3f3d3c3f7d7d8c4d6c7c6c5g4g6h5h3b6e8f8h7b5g7g3h4h2a5a4a3b4b3h8g2h1e2e1d2f2d1c1c2b1c8b8a6b2g8b7g1f1a8h6a7a2a1
57,Parties Internet (1-6),1577,Booklet (welty),1258,Otage (alliot),38,41,f5f6e6f4g5e7e3f3d3c3f7d7d8c4c7f8e2c8d6e8c5d2f2e1g6f1g3g4h3b7b4b5c2a4b3a3c1g7d1h6a6h5g1h4h7b6c6g2a5a7h8g8b2a1a2b1b8h1h2a8
57,Parties Internet (1-6),1666,Raijkard Thomas,1301,Scorpion (buro),18,17,f5f6e6f4g5e7e3f3d3c3f7d7d8c4c7f8g4g6c5e8b3h6h5c8h7d6d2h3b4g3c2h4h2e2f1g2g8h8h1g7f2e1d1b7a7c1b1a5a4a6b2g1a1a2a8a3b5b8c6b6
57,Parties Internet (1-6),1563,Wunderle Justin,1577,Booklet (welty),18,30,f5f6e6f4g5e7e3f3d3c3f7d7d8g6h5c5c7f8d6e8g8c6g4b8b6h4h3g3h2h7b4a3c4b3d2c2e2b5a6d1a4a5a2f1e1c1f2b2h6h1a1b1g1g2g7h8c8b7a7a8
57,Parties Internet (1-6),1564,Wong Alexis,1301,Scorpion (buro),17,29,f5f6e6f4g5e7e3f3d3c3f7d7d8f8e2d2g6e8c8b8g4c5c4d6b5b6c6c7b4a5a4a3f2a6c1e1b3a2f1b2d1h6b7c2g7g8a1b1a7h3g3h8h7h4h5a8h2g2g1h1
57,Parties Internet (1-6),1666,Raijkard Thomas,1301,Scorpion (buro),21,26,f5f6e6f4g5e7e3f3d3c3f7d7d8f8d6c8g6e8g3g4f2e2h3c5c4c6e1h6d2c2b3b4a5d1c1g1h7h8g7h4g8h5f1h2h1g2b5b6a6c7b7a7a8b8a4a3a2a1b2b1
57,Parties Internet (1-6),1206,Kashiwabara Takuji,1301,Scorpion (buro),31,31,f5f6e6f4g5e7e3f3d3c3f7d7d8f8d6c8b8c7c6b5c5h5a4c4g6a6b3e8g8a3a5b4g3g4h3h4h6b6f2e2g2b7a8a7b2c1c2a2a1d2d1e1f1b1h7h8g7h1h2g1
57,Parties Internet (1-6),1666,Raijkard Thomas,1301,Scorpion (buro),18,27,f5f6e6f4g5e7e3f3d3c3f7d7d8f8c7e8g8d6g4g6h6h3c5c6c4b8e2f2c2e1d2g3h4h5h2b3b4b6d1a3b5a5f1b7a6c8a8a4b2g7a2a7h8h7a1b1c1g1g2h1
57,Parties Internet (1-6),1293,OO7 (buro),1368,Edax (delorme),32,33,f5f6e6f4g5e7e3f3d3h6g4c6e2h3d6c5g6c4e8d7c3f2d8c7f7e1b3b4g7c2d1a3d2h8h7g8b6f8b5a5g3a6b7g2a4b1c1b2h1h2f1g1a7a8a1b8c8a2h4h5
57,Parties Internet (1-6),1368,Edax (delorme),1293,OO7 (buro),45,45,f5f6e6f4g5e7e3f3c5c3d3d2g4g3g6c6e2b5f2c4h4c2c1h7f7h3h5h6g2h1h2g1d6g7f1d1e1b1f8e8d8d7h8g8c7c8b8b7a5a4a8a7a3b6a6b4b3b2a1a2
57,Parties Internet (1-6),1577,Booklet (welty),1552,Hoehne Andreas,55,51,f5f6e6f4g5e7e3f3c5d3g4c3d6c4c6d7c7b4b5g3a3b6g6c8b3a4f2h5h4h6c2d2d1h3e2c1g2h1a5g1a6b2a1b1a2e1e8d8b8b7f8f7f1g7a7h8g8a8h7h2
57,Parties Internet (1-6),1293,OO7 (buro),1380,Hayashi Yoshiyuki,34,34,f5f6e6f4g5e7e3f3c5d3g4g3g6c3c4d6f7b6b5c6d8h4d7h5b3c7b4a3c2h6a4a5e2f2c8d2a6a7d1a2e1f1g1c1b1b7h2h3h7e8a8f8a1b2g2b8g7h1g8h8
57,Parties Internet (1-6),1301,Scorpion (buro),1552,Hoehne Andreas,33,37,f5f6e6f4g5e7e3f3c5d3g4g3g6c3c4d6f7b6b5c6d8h4d7a6f2c7h5h6e2d2c2b1h3c8b4g1f1e1h7g2g7f8d1c1e8a3h1h2a1b3a2b2a4a5a7b7b8h8g8a8
57,Parties Internet (1-6),560,Saio (romano),1301,Scorpion (buro),54,43,f5f6e6f4g5e7e3f3c5d3g4h6d2c2e2f1c3f2g3c6c1h5h4b5h7c4d1e1g1b3d6d7a3a2a4a5b4h2g6g2f7g8e8h3h1f8g7d8c8b8b2c7b7b1a1a6a8b6h8a7
57,Parties Internet (1-6),1795,Yohoho (hughston),1258,Otage (alliot),32,32,f5f6e6f4g5e7e3f3c5c4g3c6d6d7c7g4h5h6h7c8f8e8f7g6c3d3d2h3b3b4a4c2d1a3a5a6b5b6b7b2d8a8b8g8h4h8g7g2f2f1h2h1a1e1e2a2a7c1b1g1
57,Parties Internet (1-6),252,Uni-Corner (hansso),1661,Hawk (barker),18,24,f5f6e6f4g5e7e3f3c5c4g3c6d6d7c7h4g6f7h5h6e8c8d3d8f8g8g7e2e1f1g1d2g4f2c3c1b3b5c2h3d1h1a6a5a4b1b2a1b6b7b8a8a7a2g2h2a3b4h7
57,Parties Internet (1-6),1795,Yohoho (hughston),1258,Otage (alliot),29,33,f5f6e6f4g5e7e3f3c5c4g3c6d6d7e8d8g4f8g6f7d3h6c3h5b4d2c2h4e2a4a5a6b5a3b3h3h7h8f2b6c7c8b7g7a7a8b8g2b2b1c1d1e1f1a1a2g1h2h1g8
57,Parties Internet (1-6),1301,Scorpion (buro),1258,Otage (alliot),28,32,f5f6e6f4g5e7e3f3c5c4g3c6d6d7e8d8g6f8g4f7d3h6c3h5b4d2c8b8c7f2c2b3a4c1h7h8g8g7a8h2e2e1f1h4h3b5a5a2h1g1a3a6d1g2b6b7b1a7a1b2
