tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
289,Airplane games,2404,Hand David,2446,Odegard Martin,26,32,f5d6c3d3c4f4f6g5e6c5f3f7e7f8e3g6b6g4c6g3h3f2h5h4e2b5d7b4h6e8c8d8g8g2a5a3a4b3a2e1d2a7d1c1h1h2g1f1b1g7h8h7a6a1c7b7a8b8c2b2
289,Airplane games,2446,Odegard Martin,2404,Hand David,42,43,f5d6c3d3c4f4f6g5e6c5f3b5e3g4h4h5h6g3g6e7f2f7b4f1e2c2b3d2d7c7c6a4g7b6d1h3c1e1b2b1g8f8e8d8a2b7a6a3a5a7a8h8h7b8g1h1c8g2a1h2
289,Airplane games,2446,Odegard Martin,2408,Beck David,46,47,f5f6e6f4g6c6g5d6f3e7c5g3f7h5c3d7e3f2e8d8c8f8g8h6g4c4e2c7h3c2h4d3h7g2b8b7d2f1d1c1a8b5b6a6a4a5a7b4a3b3h1h2g1e1a2b2g7h8b1a1
289,Airplane games,2446,Odegard Martin,1855,Sosnowski Mateusz,44,38,f5d6c3f4f6d3f3b3c7d7e7d8c6b5c5g4g3e6f7e8f8g8h4c4g5b4e3e2d2g6a6f2c2h6h5a4c8b8a3a2b7h3a5b1a1a8b2b6c1d1f1e1h7h8g7g1h1a7g2h2
289,Airplane games,2408,Beck David,2404,Hand David,27,33,f5d6c5f4e3c6e6f7d7c7f6e7b6b5e8g6f8g4c8c4b3d3d8a6a4a5b4a3d2a2c3e2h5d1g5c2b2b7h3h4g3f2f3h6g7b8a8a1a7h8h7g8f1g2h2h1b1c1g1e1
289,Airplane games,1919,Stenberg Veronica,2404,Hand David,16,17,f5d6c3d3c4f4c5b4b3d2c2c1a4e3e2f3e1e6b5c6d1f1g4a6b2a1b1a2a5a3e7g3f2g2h2h3h4b6c7b8b7a8d7a7h1g1c8d8e8f8f7h5h6g5g6h7h8g8g7f6
289,Airplane games,2356,Odsell Caroline,2408,Beck David,33,43,f5d6c3f4f6d3c4g5e6c5f3e3g4b5e2f7e7b3d2d1h6f8d8d7c7g6c8c6e8b8b4a5b6e1f2a6b7h4c1c2f1a8h3h5g3h2h1g1a4g2b2a3a2a1b1g8h8a7g7h7
289,Airplane games,2408,Beck David,1855,Sosnowski Mateusz,43,44,f5d6c5f4e3c4e6c6d3f3g4f7e2d2c3b4e7f6g5e8f8g8c7d7c8g6b3c2d8b8c1a3h6e1d1b1f2h4h3h2h5h7g3f1g2h1g1a1a2b2a4a5b5b6a6a7b7a8h8g7
222,Antwerpen Open,2173,Helmes Sido,1708,Hobo Roel,44,35,f5d6c3d3c4f4f6f3e6e7c6g6g5h6d8c5b4b5e3f7a4a6g4h3h5h4d7a3a2b6g3c8f8e8b8h2c7c2d2c1e2d1f1b3g8b7a8f2b2g7h8h7g1e1h1a1b1a5a7g2
222,Antwerpen Open,2060,Peperkamp Marcel,1708,Hobo Roel,13,20,f5d6c3d3c4f4f6f3e6e7d7g6f8c5b4f7h6e8d8c6b5b6e3c7a6a3g5a4c8h4g4g3f2h5h3b3h7g7h8g8a5a7a2a1b7a8b8b2c2c1b1d1e1f1e2h2h1d2g2g1
222,Antwerpen Open,1436,de Graaf Jan C.,1708,Hobo Roel,41,37,f5d6c4d3c3f4c5b3c2b4e3e6c6f6a5a4b5a6d7c7e7e8d8c8f7b6g3g4g6f2e2f3d2h6h3h5g5f1d1e1c1b1g2g7f8h1g1g8h8h2a1h4h7b8b7a8a2a3a7b2
222,Antwerpen Open,1708,Hobo Roel,2135,Reunes Nick,33,33,f5d6c3d3c4f4f6b4f3e6e3g5g6g4h4h5h6g3h3f7f8f2d2e2c2b3f1e1d1c1b1h2h1g1g2a1e7b2c7d7c8e8d8g7c5g8b5a6a4c6a5b6a7b7h8h7b8a8a3a2
222,Antwerpen Open,1971,Schotte Tom,1708,Hobo Roel,13,29,f5d6c3d3c4f4f6f3g4g3e6b3d2e3e2g5h6c5h5h4c6h7b6g6b5b4c2f2h2c1d1e1g1f1b1g7f7f8a2a3a4b2g8h8e7d8e8a5a6h3g2a1c8d7c7h1b8a7b7a8
222,Antwerpen Open,1708,Hobo Roel,1591,Ilbrink Jarl,57,48,f5d6c5f4e3c4e6f2f3g4e2f6d3c3b4c2d2c1d1e1f1g1d7g3e7b3g6e8h3a5g5h5a4h6a6b6b5d8c6a3a2c7h2b7b2h4h7b1b8c8f8g7a1f7g8h8h1a7a8g2
222,Antwerpen Open,1708,Hobo Roel,2416,May Michael,55,36,f5d6c3d3c4f4f6g5e3f3g6e7f7e2h5c5g4g3f2d2h4h6h7h2d8e1c2b5d1f1c1g2e6b3c7e8f8c6d7c8b8b1b6b7a4a6a8g7a7g8h1g1a5a1h3a2a3b2b4h8
