tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
200,EGP Ghent,1708,Hobo Roel,1206,Kashiwabara Takuji,27,34,f5d6c3d3c4f4f6f3g4g3e6b3f2e3e2c5c6h4g5d2c1h5a3d1e1f1g1b2b5a2g6a4b6a5a6b4a1f7f8d7c7e8d8e7g7c2b1h8h6h7h3h2g2h1g8c8b8a8a7b7
200,EGP Ghent,1591,Ilbrink Jarl,1206,Kashiwabara Takuji,24,35,f5d6c3d3c4f4c5b3c2b4c6d2e3b5c1e6c7g4f6f3e2f1e1e7b6g5d7f7f8a6g6h5h3e8d8f2g3h4h6c8b2g8a7a5a4a3b7a8g1a2b8d1h8h1g2h2b1a1g7h7
200,EGP Ghent,1,Tastet Marc,22,Leader Imre,26,29,f5d6c5f4e3c6d3f6e6d7e7c7c4f8b6b5a6b3g3c3b4a4a5a3a2g4g6g5h3f3f7h4d2d1h5c2b2h6g7h2d8h7e1e2f1f2c1b8c8e8g2a1b1g1h1h8g8b7a8a7
200,EGP Ghent,1711,Delaunay Arnaud,22,Leader Imre,34,34,f5d6c3d3c4f4f6b4f3e6e3f2d2g5g6g4h5h6e7h3g3h4f7d7b5e2e1e8c8c6a4d8f1c2c5c1b6d1g2b3h2b8a3a5a6c7g8b7h7h1g1f8g7b2a8a7b1h8a1a2
200,EGP Ghent,22,Leader Imre,1993,van den Berg Erwin,45,35,f5d6c3d3c4f4f6g5e3f3g6e2h5b4d2f2g3g4e6e7b5c1c5c6h4f7f1d1d7h6h7h2a3b7b6c2a8b2d8e8f8h3h1g7g1g2b3a2a1b1e1a4a5c7b8c8g8a7a6h8
200,EGP Ghent,22,Leader Imre,1518,Kortendijk Albert,38,40,f5d6c3d3c4f4f6b4f3e6e3g5g6g4h4h5h6g3h3f7b5b3a3a6a5d2c2f2d1e2b6c1b1b2c5a4a7c6g1g2f8g7e7g8c7d7c8d8e8b8a1a2h2h7h8a8b7e1f1h1
200,EGP Ghent,2544,Helmes Jiska,22,Leader Imre,24,36,f5d6c5f4e3c6d3f6e6d7e7c7c4f8b6b5a6b3g3f3c8d8b4e2g5g6d2h4g4f7e1a3a4c3f2h3e8b8h5h6h7h8g8g7a8c1d1f1c2b7g2a7a5b1b2h2a2a1g1h1
200,EGP Ghent,2738,Chiarulli Giuseppe,22,Leader Imre,22,18,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6c7c8b4d2e3b5f7h6e8f8c1g5g4h3c2e1a6b3d1b1e2a4h4f1f2g1a3a2b6h5g3g2g7b7a7a8a5b8b2h7a1h1h2g8h8
200,EGP Ghent,22,Leader Imre,1999,Aubroeck Patrick,43,42,f5f6e6f4g5e7f7h5d3c6d7c4g4h4c3d6e3f3c7e2b3c5b6b5d2c1g6c2f1e1a5a3f2d8h6h7b4a6e8c8a4f8g3h3g2h1h2g1h8b7d1a2a1b1a8a7b2b8g8g7
200,EGP Ghent,1708,Hobo Roel,22,Leader Imre,18,26,f5d6c3d3c4f4c5b4c6e6a3b5e3f2a6b6c7a4a5e2d7f7e7f6g6d8f8b3e8g8g5g4h3h5h7f3a2c8c2d2d1e1c1g3f1g2h4h6b7a8b8h8h1h2b2a7g7a1b1g1
200,EGP Ghent,22,Leader Imre,1436,de Graaf Jan C.,41,25,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2c1e2b5g3f3h4d1f2g1h6e7c7b6g6b4e1e8c8d8b7f1f8a8g8h3a3h5h2a4b2c2a5a7b1a1b3h7h8g7g2a2a6b8h1
200,EGP Ghent,1,Tastet Marc,1711,Delaunay Arnaud,42,36,f5d6c5f4e3c6d3g5e6f6g3c4b4b3b5a4d7c3e7g4f3c7a3c8d8f8e8f7h5h6g6h3h4e2g7f2f1c2b2g8e1d2a6a5c1d1b1a1a2h8h7g2g1h1h2a7a8b8b7b6
200,EGP Ghent,1,Tastet Marc,1993,van den Berg Erwin,41,35,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8b8e8f8f7g8e2g5d2c2c3b6h5g6b5a4a6a5a3b4a7h4g7d1e1h8h3b3h6f1f2g1b1g2g3c1h1g4b2a1a2a8h7b7h2
200,EGP Ghent,1,Tastet Marc,2544,Helmes Jiska,26,28,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8b8e8f8f7g8e2g5g4g6b4b5c3a3b3h3h5e1d2f2a4c1a2c2a5b6f1h6h7g3a6g7g1h1d1a7a8b2h8b7a1b1h4g2h2
200,EGP Ghent,1,Tastet Marc,1999,Aubroeck Patrick,32,33,f5f6e6f4g5c6g3d6e3g4e7f7c7g6h5h4h3d8b6d7c8b8f8c5f3d2h6f2f1g2c4d3h1e2h2c3e8g8g7a6d1e1c2g1b3a3b2b4c1a1b5b1a4a5a2b7a8a7h8h7
200,EGP Ghent,1,Tastet Marc,1708,Hobo Roel,40,35,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8b8e2b6e8f8f7f1c2d2c1d1b3c3b5a3b4a6a5a4b2g8g7g5a2h8b7g6g3g4h3h4e1a1b1f2h5h6g2h2h7a7h1g1a8
200,EGP Ghent,1971,Schotte Tom,1,Tastet Marc,28,23,f5d6c4d3c5f4e3f3e2f6e6c6d7e7f8d8f7c8c7e1g4g3g5h6h5e8b8h3h4c2d2g6f1g1f2d1b1g2g7g8h8h7h1c1h2b2a2c3b3a4a3a1b4b6a7a5b7a8b5a6
200,EGP Ghent,2052,Sneek Marcel,1,Tastet Marc,7,28,f5d6c3d3c4f4c5b3c2e3d2c6b4a3b5f6a5a4a6a7e7b6c7e2g6h6g4c8g5d1f3f2e1f1b2d7d8e8g7g3e6h7h2h3h4h8f7h5g2h1a2a1b8g8f8a8b7b1c1g1
200,EGP Ghent,2416,May Michael,1,Tastet Marc,25,35,f5d6c5f4e3c6d3e2g4f3d2g3g5f6e6f7e1b5f2h4h3h2h6c4e7c1d1f8e8c3g6f1c2d7g8b1d8c7a5a6a7b4b3a4a3b6c8b7g1h1g2h5a8a2a1b2h7g7h8b8
200,EGP Ghent,1711,Delaunay Arnaud,1518,Kortendijk Albert,34,32,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5g4h3c5c6c8e8b4d2h4b5b3a4e3g3a6a5a3c2e1d1f2e2f1b2b6g1h2c7b8b7a1a2a8a7d8h7b1h6g8g7h5h1h8c1g2
200,EGP Ghent,1999,Aubroeck Patrick,1711,Delaunay Arnaud,34,25,f5d6c4d3e6f4e3f3c6f6g5g6e7h6c3f7d2c5g4d8e8f8d7b6b5c8c7a4a6h3e2e1h5h4f1g1f2g3g7b8h7h8g8b7a8a7a5b2a3b3b4g2c2b1d1c1a1a2h1h2
200,EGP Ghent,1708,Hobo Roel,1711,Delaunay Arnaud,12,25,f5d6c3d3c4f4f6g5e3f3g6e2h5c5g4d2f2b5e6e7d1c2c1f1b3g3b4h3f7a4a6a5e1c6a3b1h4d7h2g1b6c7e8d8c8g8f8b8b2a1b7a2g2h6g7h1h7h8a7a8
200,EGP Ghent,1711,Delaunay Arnaud,1971,Schotte Tom,50,33,f5f6e6f4e3c5c4e7c6e2f3g4g5d6d7b5b4f7g6c8d8c3d3c2h3b6g3a3a5e8c7b3a4a6f2h6c1h4b7d2d1f1e1a8g1b8a7g2h1h2h5b1h7g7h8g8f8b2a2a1
