tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
222,Antwerpen Open,1518,Kortendijk Albert,1971,Schotte Tom,50,35,f5f6e6f4e3c5c4e7c6e2f3g4f2d2g5d6g3d3c3h3h4c2h2h6d1b3b5f1a3b6c1a5f7b4e1b1g2g7a4a2g6h7e8f8h5d8d7c8c7h1g1b8a7g8h8a6a1a8b7b2
222,Antwerpen Open,1834,v/d Biggelaar Nicky,1971,Schotte Tom,36,40,f5f6e6f4g5e7e3f3c5d3g4g3g6c3c4d6f7b6b5c6b4a3e8a4a5a6f2h5h4d7h6h2c8d8c7e2d1f1b3c2d2f8g8c1b1b2a1a2a7b8a8b7h3h7e1g1h1g2h8g7
222,Antwerpen Open,1834,v/d Biggelaar Nicky,1708,Hobo Roel,46,36,f5d6c3d3c4f4c5b3e2e3c2b6c6d2d1e1f1c1b1f2e6d7e7f3g5b4b5a5g1c7d8g4h4f8e8c8g3f7a3g2a4a2a7b7b2h2f6h5a6a1h1h3g6h6a8b8g8g7h7h8
222,Antwerpen Open,1971,Schotte Tom,1436,de Graaf Jan C.,32,33,f5d6c3d3c4f4f6g5e3f3g4h3e6g3g6f7h4h5c7d2e2c2d1c1e1f1f2e7e8c6d7c8f8d8b8c5b6b4b5g1a3b3a2a4a5b2g2h1h2a7a6a1b1b7a8g7h8g8h6h7
222,Antwerpen Open,2052,Sneek Marcel,1971,Schotte Tom,10,21,f5f6e6f4e3c5c6d6g4d3c3g3g5f3e2h5h3h4h6g6c7d7e8d8b5c4c8b6a5a4a3a6a7b4e7b3f7d2c1d1e1c2b1g2f2f1h1a1b7g1a2b2a8b8h2f8g7g8h7h8
222,Antwerpen Open,1971,Schotte Tom,2004,Fransen Martin,38,36,f5f6e6f4e3d6g5g4e7f3h3h5g3d2d3f2e2h4g6h2c1d7c4f8c5c6f7h6e8e1c8b6c3d1b5a5b4c7a4a3a6a7g2f1h1g1h7b7a8b8g7c2b3d8g8h8a2b2b1a1
222,Antwerpen Open,1926,Praseptyo Linda,1971,Schotte Tom,7,24,f5f6e6f4e3c5c4e7c6e2f3g4g6g5d6d3h5f7d8e8g3c8f2h6c3h4f1d2e1h3g7c2c1d1g8d7f8c7b7h8h2h1h7b8g2a8b5g1a7a4a5b1a3b6b4a6b3a2b2a1
222,Antwerpen Open,1971,Schotte Tom,1708,Hobo Roel,35,35,f5f6e6f4e3c5g6f3g5g3d3e2c4c3b5d6c6e7d7b4e8c7b6d8c8a5a3f7g4h4h5h6a6a4f8b7b3c2d2c1f2e1b2b8a2a1f1d1h3g7a8a7h7g1b1h2h8g8h1g2
222,Antwerpen Open,1436,de Graaf Jan C.,1708,Hobo Roel,34,30,f5d6c6f4e6g6e3f6c5e7g3c4c3d7c7b6f8d3d2b5b4e8g5a3a6a5c8d1e2b3e1c2f7g8h7g4f3h6h5h4h3c1b7f1a4f2g2h2h1g1b2a1b1a2a7a8b8d8g7h8
222,Antwerpen Open,1708,Hobo Roel,1935,Vaes Dimitri,20,27,f5d6c5f4e3c6d3f6e6f3c4e2d7c2d2e7c7c1f8c3f1b5b4a5f7d1a3a4a6e8g6d8b3g8c8b8g3g4f2g5g7h3h2h1h4g1e1b6g2h8a7h5b2a1b1a2b7a8h6h7
222,Antwerpen Open,1708,Hobo Roel,1926,Praseptyo Linda,38,36,f5d6c5f4e3c6d3f6e6d7g3c4b4b3g5c3b5a5a4a3b6a6f7g6e7f8h6h4d8g4h3c2h5f3f2g7h8e8g8h7e2d2c7c8c1e1f1g1d1g2h1h2b8b7b1b2a1a2a7a8
222,Antwerpen Open,2416,May Michael,1708,Hobo Roel,18,20,f5f6e6f4e3c5c4e7g4g3g6h3d6f7h4h6h2d7e8d8c8c6g5f8g8c7b8c3b3d3d2g7c2h5f3b4a3b2b6b1d1h1a2a1c1b5a4a5h8h7a6b7e2e1a8a7f2g1g2f1
222,Antwerpen Open,1708,Hobo Roel,3319,Dorbeck Anne,34,56,f5f4e3d2e2f2e1d6e6f3d3d1c1c2b1c3b4b3a4f7g5g3h3f6g4h5h4h2c4c5f1a3a2b5h6h7g1g6a5b2d7e7a1c8e8c6b6c7f8g2d8g8g7h1h8b7b8a6a7a8
22,British Nationals,22,Leader Imre,2404,Hand David,35,33,f5d6c5f4e3c6d3f6e6d7g4c4g5c3b4e2b5g6f3d2c7b3f7f2c2a6a5a4d8b6e7h4h3h6f1h5h7d1b1b8c8e8f8g8a3b7a8a7h8g7g3g1e1c1b2h2h1g2a1a2
171,British Regionals,314,Stephenson Neil,22,Leader Imre,15,27,f5d6c4d3c3f4f6f3e6e7f7c5e3e2b6g4g5c6f8d7c8e8d8c7b5h6h3h5e1g6g3f2f1a6b8a4b7b4a3b3a5a2h4h2g7d2d1h8c2b2g8a8a1a7h7g2g1h1c1b1
288,Cambridge International,22,Leader Imre,1517,Berg Matthias,42,33,f5d6c5f4e3c6d3f3e6f6g4g3g5h5h4h3g6h6d7c7e7c8d8b5b4e2d2e8f8g8a5f7b6b7f1c4g2h2a8c2b8a3a4c1h8b3h7g7h1c3a2e1f2a6a7b2d1b1a1g1
288,Cambridge International,1517,Berg Matthias,22,Leader Imre,27,27,f5d6c3d3c4f4f6f3e6e7d7g6g5c5b6c6b5c7f8e8f7h6d8b3e3b4d2a5a6c2e2a7b1f2a4a3b2b7g3c8h5h4a8b8a2g4f1c1h2a1d1h3g2h1g1g8h8e1g7h7
288,Cambridge International,22,Leader Imre,1517,Berg Matthias,21,21,f5d6c5f4e3c6d3f3g4e2d2g6g3b5f1c4e6f6f7g5c3e7h6f8d7h5h4c8h7c7e8d8b3e1f2c1g7h3h2d1c2g1a6a3a4h8g8b4a2a5b2h1g2a1b1a7b6b7b8a8
288,Cambridge International,1517,Berg Matthias,82,Plowman Guy,33,34,f5f6e6f4e3c5g6f3g5g3f2g4h4h5h6h2d3d7c4e2f1d1c6c2d6c3d2b5b3c7b1b4a4c1e1a5a6e7f7b6a7a3a2f8e8c8h3h7g8g2g1b7a8b8d8h1g7h8b2a1
288,Cambridge International,149,Stanzione Pierluigi,1517,Berg Matthias,32,33,f5f6e6f4e3d6c4f3g3c3c5d3g4b4e2b3b5d2b6c6g5f1e1d1c1b1c2a4a6g6a2a5a3f2f7e7d8h6h4e8f8h5d7b7c7c8b2h3h2g7h8g8h7a1a7g2b8a8g1h1
288,Cambridge International,1517,Berg Matthias,188,Marson Phil,52,36,f5d6c3d3c4f4d7e3f2e2c2b3f3c1e1b5e6g3d2f1g1d1b1e7b4g6g4f7f6c5a4a2c7c6a6b2b6a5f8c8a3e8a1g2h4h5g5h2h6g8d8h3h8g7h7b8a8a7b7h1
288,Cambridge International,1251,Brand Richard,1517,Berg Matthias,31,22,f5d6c4g5f6f4g6f7e8e3f2e2e6c6h4c5d3f3c3d2f1e1g4b5b4a3a6a4d7b3c7b6a7e7d8g3c2h3h2c1g2h5h6g7d1g8b1c8b7g1h1f8a5b2a2a1h7a8b8h8
288,Cambridge International,1517,Berg Matthias,3194,Plowman Mark,58,53,f5f6e6f4f3d6g4e3d2f2e2g3g5d3f1d1c3h4c2c1c5c4c6b5b4b3b6c7a3a4e1g1a5a7c8d7a2d8e7e8f8f7b8g2g8b2h1h2b1g7h3b7a8a6h5h6h7h8g6a1
288,Cambridge International,1517,Berg Matthias,3218,Brand Henry,64,64,f5f6e6f4g6d6e3d2g5f3d3c3g4h6c2h4d1c1b1b2c4b4a1b3c5b5e1a4a3a2a5a6b6a7a8b7c6e2f2f1g2h3g1h1h5g3c7b8d8c8d7e7f8e8h2g8g7h7f7h8
288,Cambridge International,1517,Berg Matthias,3221,Brand Sophie,64,60,f5f6e6f4g3c6g5h4e3f7h6f2e2d2e1g4e7d7d6h5h3g6g2g1f3h2h1d8e8f1g7c1c8c5d3c3d1h7b5c2b2b3a4c4b1h8a2b4a1a3g8a5f8b6c7b8
288,Cambridge International,3135,Plowman Luke,1517,Berg Matthias,9,21,f5d6c5f4e7f6g5g6h6c6d3e6g4e3f7h5d7c7b6h3c8g3e2c4f3b5h4h7a5c2b4d2f2f8c3f1g1e1g2h1c1d1g7d8e8h2g8a3a4a6b3b1b7a8a7h8a2b8a1b2
